SL. No.,iso,Language_Name,Uninverted_Name,Autonym,Alternate_Names,Country_Code,Country_Namee,Is_Primary,is_Indigenous,Is_Established,All_Users,L1_Users,L2_Users,All_Full,L1_Full,L2_Full,Monolingual,Ethnic,Population_Year,Population_Total,Location,Subdivision,Latitude,Longitude,EGIDS,EGIDS_Label,Official_Recognition,LWC_Support,Classification,Dialect_Names,Relationships,Typology,Language_Use,Language_Contact,Use_as_L2,Literacy,Education,Literature,Revitalization,Language_Planning_Org,Scripts,General_Remarks,Religion
11,akj,Aka-Jeru,Aka-Jeru,,"Jero, Jeru, Yerawa",IN,India,T,T,T,3,3,,,3 (2020 D. Dasgupta).,,,,2020,,"Andaman and Nicobar Islands union territory: interior and south North Andaman island, Sound island.",Andaman and Nicobar Islands,12.2326,92.9031,8b,8b (Nearly extinct),,,"Andamanese, Great Andamanese, Northern",,,,Elderly only.,All shifted to Mixed Great Andamanese [gac].,,,,,,,,The last of the 10 Great Andamese languages with any speakers left (2020 D. Dasgupta).,
12,akx,Aka-Kede,Aka-Kede,,Kede,IN,India,T,T,T,0,0,,,No known L1 speakers. The last speaker probably died by 1940 (Van Driem 2001).,,,,,,Andaman and Nicobar Islands union territory: central and north central Middle Andaman Island.,Andaman and Nicobar Islands,12.7475,92.8235,x10,10 (Extinct),,,"Andamanese, Great Andamanese, Central",,,,,,,,,,,,,,
13,aky,Aka-Kol,Aka-Kol,,Kol,IN,India,T,T,T,0,0,,,No known L1 speakers. The last speaker died in 1921 (Van Driem 2001).,,,,,,Andaman and Nicobar Islands union territory: southeast Middle Andaman Island.,Andaman and Nicobar Islands,12.3695,92.851,x10,10 (Extinct),,,"Andamanese, Great Andamanese, Central",,,,,,,,,,,,,,
14,ack,Aka-Kora,Aka-Kora,,Kora,IN,India,T,T,T,0,0,,,"No known L1 speakers. Last speaker, Boro, died in 2009.",,,,,,"Andaman and Nicobar Islands union territory: northeast and north central coasts of North Andaman Island, Smith Island.",Andaman and Nicobar Islands,13.4165,93.0676,x10,10 (Extinct),,,"Andamanese, Great Andamanese, Northern",,,,,,,,,,,,,,
15,acl,Akar-Bale,Akar-Bale,,"Balawa, Bale, Balwa",IN,India,T,T,T,0,0,,,No known L1 speakers. The last speaker died by 1940 (Van Driem 2001).,,,,,,"Andaman and Nicobar Islands union territory: Ritchie’s Archipelago, Havelock Island, Neill Island.",Andaman and Nicobar Islands,11.9789,92.9951,x10,10 (Extinct),,,"Andamanese, Great Andamanese, Central",,,,,,,,,,,,,,
16,all,Allar,Allar,,"Aalan, Alan, Alanmar, Alar, Allan, Chatans",IN,India,T,T,T,350,350,,,350 (Shashi and Shri 1994).,,,,1994,,"Kerala state: Malappuram district, Manjeri and Perinthalmanna sub-districts, Aminikadu, Mannarmala, and Tazhecode; Palakkad district, Mannarkkad and Ottappalam sub-districts.",Kerala,11.1678,76.4125,7,7 (Shifting),,,"Dravidian, Unclassified",,"Lexical similarity: 61% with Malayalam [mal], 59% with Tamil [tam].",,All domains. Adults only.,Shifting to Malayalam [mal].,,,,,,,Malayalam script [Mlym].,,"Traditional religion, Hindu."
17,ajz,Amri Karbi,Amri Karbi,Amri Karbi,Amri,IN,India,T,T,T,125000,125000,,,"125,000 (2003).",,,,2003,,"Assam state: Kamrup district, Basbistha, Chandubi, Jalukbari, Jorabat, Kahi Kusi, Khetri, Loharghat, Pandu, Panikhaith, Rani block, Sonapur, and south of Brahmaputra river; Meghalaya state: Ri-Bhoi district, Nongpoh area, Barni Hat and Umling.",Assam,26.0926,91.5262,6b,6b (Threatened),,,"Sino-Tibetan, Tibeto-Burman, Karbi","Lower Amri, Upper Amri",Reportedly unintelligible with Karbi [mjw]; intelligibility testing inconclusive regarding whether Guriaghuli area dialect is well understood in Meghalaya. Lexical similarity: 57%–68% with Karbi; 70%–86% between dialects.,,"Many ethnic group members no longer use Amri Karbi. Much borrowing from Assamese [asm] (in Assam) and Khasi [kha] (in Meghalaya). Some Amri Karbi villages shifted completely to Assamese due to intermarriage and the perception that Assamese is preferred for children to do well in school. In the remote and isolated border area, the language is still strong. Home, village, religion. Some of all ages. Positive attitudes. Strong feelings of separateness from the dominant Karbi group in Karbi, Anglong District.",Most also use Assamese [asm]. Many also use English [eng].,,Literacy rate in L2: 20%—60%.,,Literature. Newspapers. Radio. Grammar. NT: 2010.,,,Latin script [Latn].,,"Hindu, Christian, traditional religion."
18,anm,Anal,Anal,,"Anāl, Anal Naga, Namfau, Pakan, Pakan Naga",IN,India,T,T,T,27200,27200,,,"27,200 in India (2011 census).",,,,2011,"27,250","Manipur state: Chandel district, Chakpikarong, Chandel, and Engnoupal sub-districts, on Chakpi river banks.",Manipur,24.0515,94.1632,5,5* (Developing),,,"Sino-Tibetan, Tibeto-Burman, Kuki-Chin, Northwestern","Laizo, Mulsom (Malshom)",Reportedly most similar to Lamgang [lmk] (Kuki Naga).,SOV.,,Many also use English [eng]. Also use Meitei [mni].,Used as L2 by Moyon Naga [nmo].,Literacy rate in L1: 74% (2001 census).,,Bible: 2006.,,,Latin script [Latn].,Declared themselves Nagas (ethnically) in 1963.,Christian.
19,hca,Andaman Hindi Creole,Andaman Hindi Creole,,Andaman Hindi,IN,India,T,T,T,10000,10000,,,"10,000 (Singh 1994a).",,,,1994,,"Andaman and Nicobar Islands union territory: Port Blair, 40 villages south of Port Blair.",Andaman and Nicobar Islands,12.546,92.821,6a,6a (Vigorous),,,"Creole, Hindi based",,"A creolization of Hindustani, Bengali [ben], and Malayalam [mal].",,Home. Used by all.,"Also use English [eng]. Also use Hindi [hin], especially with outsiders. A situation of diglossia.",Used as L2 by Mixed Great Andamanese [gac].,,,,,,Unwritten [Qaax].,Spoken as L1 by mixed generations of communities. Contains elements of Indo-Aryan and Dravidian grammar. No literature exists in the creole. Standard Hindi literature is used.,
20,anr,Andh,Andh,,"Andha, Andhi",IN,India,T,T,T,100000,100000,,,"100,000 (2007).",,,"420,000 (2007).",2007,,"Madhya Pradesh state; Maharashtra state: Akola, Aurangabad, Buldana, Nanded, Parbhani, and Yevatmal districts; Telangana state: Adilabad, Hyderabad.",Maharashtra,19.4518,77.3899,6b,6b* (Threatened),,,"Indo-European, Indo-Iranian, Indo-Aryan, Unclassified",,,,,Also use English [eng]. Also use Marathi [mar].,,,,,,,Devanagari script [Deva].,A Scheduled Tribe. Many speak Marathi [mar] as L1.,Hindu.
21,anp,Angika,Angika,अंगिका‎ (Angika),"Anga, Angikar, Chhika-Chhiki",IN,India,T,T,T,1040000,1040000,,,"1,040,000 in India (2024).",,,,2024,"1,082,130 (as L1: 1,076,000; as L2: 6,130)","Bihar state: Banka, Bhagalpur, Katihar, and Purnia districts; Jharkhand state: Godda and Sahibganji districts.",Bihar,25.468,87.2661,5,5 (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Eastern, Unclassified",,79% inherent intelligibility of Brahmin Maithili. Lexical similarity: 81% (Brahmin) to 87% (non-Brahmin) with Darbhanga Maithili.,SOV; postpositions; noun head final; content q-word in situ; clause constituents indicated by case-marking; passives and voice; nontonal.,"Use declining (Van Driem 2007). Home, community. Used by all. Negative attitudes.","Also use English [eng]. Also use Hindi [hin], especially for trade, government, and prayer.",,,,Videos. Texts. Bible portions: 2011.,,,Devanagari script [Deva].,,Hindu.
22,apt,Apatani,Apatani,,Apa,IN,India,T,T,T,44800,44800,,,"44,800 (2011 census).",,,,2011,,"Arunachal Pradesh state: lower Subansiri district, Billa, Dutta, Hari, Hija, Hong, Michi Bamin, and Mudang-Tage villages in Ziro valley; Assam and Nagaland states.",Arunachal Pradesh,27.5924,93.883,6b,6b* (Threatened),,,"Sino-Tibetan, Tibeto-Burman, Central Tibeto-Burman, Tani",,May be intelligible with Nyishi [njz].,,,Also use Assamese [asm]. Also use English [eng]. Also use Hindi [hin]. Also use Nefamese [nef].,,Literacy rate in L2: 71% (2001 census).,,Dictionary. Grammar. NT: 2004.,,,Latin script [Latn].,,Traditional religion.
23,apq,A-Pucikwar,A-Pucikwar,,"Aka-pujjukar, Puchikwar, Pucikwar",IN,India,T,T,T,0,0,,,"No known L1 speakers. Last known speaker, Loka Raja, survived into the 1950s (Avtans and Abbi 2006).",,,,,,Andaman and Nicobar Islands.,Andaman and Nicobar Islands,12.2179,92.748,x10,10 (Extinct),,,"Andamanese, Great Andamanese, Central",,,,,,,,,,,,Unwritten [Qaax].,,
24,acm,"Arabic, Mesopotamian",Mesopotamian Arabic,اللهجة العراقية‎ (allahjat aleiraqia),,IN,India,F,F,F,59400,59400,,,"59,400 in India (2011 census).",,,,2011,"2,00,35,580",,,,,xUn,Unestablished,,,"Afro-Asiatic, Semitic, Central, South, Arabic",,,SVO; 32 consonant phonemes.,,,,,,Radio. TV. Grammar.,,,"Arabic script, Naskh variant [Arab].",,
25,arb,"Arabic, Standard",Standard Arabic,العربية‎ (al-ʻArabīyah),,IN,India,F,F,F,2280000,,2280000,,,"2,280,000 in India (2011 census), L2 users.",,,,"334,739,000 (as L1: ; as L2: 2,280,000)",,,,,xUn,Unestablished,,,"Afro-Asiatic, Semitic, Central, South, Arabic",,,"VSO; prepositions; noun head initial; gender (masculine/feminine); dual number; definite and indefinite affixes; case-marking (3 cases); verb affixes mark number, gender of subject; aspect; 28 consonant and 6 vowel phonemes; non-tonal; stress on first syllable; triliteral roots, few affixes.",,,"Used as L2 by Maldivian [div], Mewati [wtm], Urdu [urd].",,,Fully developed. Bible: 1645–2008.,,,"Arabic script, Naskh variant [Arab], primary usage. Braille script [Brai].",,
26,aaf,Aranadan,Aranadan,,"Aranatan, Arnatas, Eranadans",IN,India,T,T,T,250,250,,,250 (2004).,,,,2004,,"Kerala state: Kozhihkode district, Ernad sub-district; Malappuram district, Nilambur sub-district; Palakkad district; Karnataka and Tamil Nada states.",Kerala,11.3277,76.131,6b,6b (Threatened),,,"Dravidian, Southern, Tamil-Kannada, Tamil-Kodagu, Tamil-Malayalam, Malayalam",,"Lexical similarity: 63%–69% with Malayalam [mal], 53%–55% with Tamil [tam].",,"Vitality in Malappuram District questionable due to small population, no separate settlements, living with Malayalis. Low education level helps keep language stable. Home, community. Some young people, all adults. Negative attitudes.",All also use Malayalam [mal]. Many also use English [eng].,,Literacy rate in L2: 70% in Malayalam [mal].,,,,,Unwritten [Qaax].,,Traditional religion.
27,asm,Assamese,Assamese,অসমীয়া‎ (Ôxômiya),"Asambe, Asami, Asamiya, Axomiya",IN,India,T,T,T,23620000,15300000,8320000,"23,620,000 in India, all users.","15,300,000 in India (2011 census).","8,320,000 (2011 census).",,,2011,"23,648,240 (as L1: 15,327,990; as L2: 8,320,250)","Arunachal Pradesh state: Changlang and Lohit; Assam state; Meghalaya state: west Garo Hills; Nagaland state: Dimapur, Kohima, Mokokchung, Wokha, and Zunheboto; West Bengal state: Jalpaiguri and Koch Bihar.",Assam,26.6205,92.9831,2,2 (Provincial),"Statutory provincial language in Assam State (1950, Constitution, Schedule VIII).",,"Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Eastern, Bengali-Assamese","Jharwa (Pidgin), Mayang, Standard Assamese, Western Assamese (Kamrupi)",,"SOV; noun head final; gender (masculine/feminine); case-marking (6 cases); verb affixes mark person, number, gender of subject; passives; tense and aspect; 21 consonant and 16 vowel phonemes; non-tonal; free stress; honorifics.",,,"Used as L2 by Adi [adi], Aiton [aio], Amri Karbi [ajz], Angami Naga [njm], Ao Naga [njo], Apatani [apt], Bawm Chin [bgr], Chang Naga [nbc], Deori [der], Digaro-Mishmi [mhu], Dimasa [dis], Galo Adi [adl], Hajong [haj], Hmar [hmr], Hrangkhol [hra], Hruso [hru], Idu-Mishmi [clk], Kachari [xac], Kamtapuri [rkt], Karbi [mjw], Khamti [kht], Khamyang [ksu], Koch [kdq], Kok Borok [trp], Kurmukar [kfv], Lyngngam [lyg], Miji [sjl], Miju-Mishmi [mxj], Mising [mrg], Nocte Naga [njb], Phake [phk], Puroik [suv], Singpho [sgp], Sumi Naga [nsm], Tangsa Naga [nst], Tiwa [lax], Turung [try], Tutsa Naga [tvt], Wancho Naga [nnp].",,Taught in primary and secondary schools through grade 5 and as subject thereafter in Assam state.,Literature. Newspapers. Periodicals. Radio. TV. Videos. Dictionary. Grammar. Bible: 1833–1995.,,,Bengali (Bangla) script [Beng].,,"Hindu, Christian, Muslim."
28,asr,Asuri,Asuri,,"Ashree, Assur, Asura, Maleta",IN,India,T,T,T,7000,7000,,,"7,000 (Van Driem 2007).",,,,2007,,"Chhattisgarh state: Raigarh district, Jashpur area; Jharkhand state: Gumla, Lohardaga, southern Palamau, and northern Ranchi districts of Chotanagpur Plateau; Maharashtra state; Odisha state: Sambalpur district; West Bengal state.",Jharkhand,23.8107,84.4663,6a,6a* (Vigorous),,,"Austro-Asiatic, Munda, North Munda, Kherwari, Mundari","Brijia (Birjia, Koranti), Manjhi",,,,Also use Bengali [ben]. Also use English [eng]. Also use Sadri [sck].,,,,NT: 2023.,,,Devanagari script [Deva].,,"Hindu, Christian, traditional religion."
29,aot,Atong,Atong,,A’tong,IN,India,F,T,T,4600,4600,,,"4,600 in India.",,,,,"10,000",Meghalaya state: south Garo Hills district; possibly Assam state: south Kamrup district.,Meghalaya,,,6b,6b (Threatened),,,"Sino-Tibetan, Tibeto-Burman, Sal, Boro-Garo, Koch","Badri, Siju, Rongsu, Baghmara",Related to Koch [kdq] and Rabha [rah].,,"Some young people, all adults.",Also use Garo [grt]. Also use English [eng].,,,,Dictionary. Grammar. Texts.,,,Bengali (Bangla) script [Beng]. Latin script [Latn].,,Traditional religion.
30,awa,Awadhi,Awadhi,अवधी‎ (Awadhi),"Abadi, Abohi, Ambodhi, Avadhi, Baiswari, Kojali, Kosali",IN,India,T,T,T,3850000,3850000,,,"3,850,000 in India (2011 census).",,,,2011,"4,789,700 (as L1: 4,714,000; as L2: 75,700)","Bihar state; Delhi; Madhya Pradesh state; Uttar Pradesh: Allahabad, Bahraich, Bara-Banki, Faizabad, Gonda, Kheri, Lucknow, Pratapgarh, Rae-Bareli, Sitapur, Sultanpur, and Unnao districts.",Uttar Pradesh,26.6232,81.297,5,5* (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Eastern, East Central","Gangapari, Mirzapuri, Pardesi, Uttari","Dialects are generally mutually intelligible. Lexical similarity: with Bhojpuri [bho], Rana Tharu [thr], Maithili [mai], Nepali [npi], Hindi [hin]. Also Sanskrit [san] borrowings.","SOV; postpositions; noun head final; 2 genders; clause constituents indicated by case-marking; verbal affixation marks person, number and genders of subject and object; no ergativity; tense and aspect; passives and voice; 30 consonant and 8 vowel phonemes; nontonal.",,Many also use English [eng]. Also use Hindi [hin].,,"Literacy rate in L1: 50%–75%. Education is in Hindi [hin]. Considerable epic literature. Hindu holy book, Ramcharitmanas, by Tulsi Das.",,Literature. Newspapers. Periodicals. Radio. TV. Videos. Grammar. Texts. Bible: 2000–2005.,,,Devanagari script [Deva].,‘Kosali’ is a name used for the Eastern Hindi group.,"Hindu, Muslim."
31,bfq,Badaga,Badaga,"Badaga, ಬಡಗ‎ (Badaga)","Badag, Badagu, Baduga, Badugu, Vadagu",IN,India,T,T,T,134000,134000,,,"134,000 (2011 census).",,,,2011,,"Kerala state: Malappuram district; Tamil Nadu state: Nilgiris district, Kunda hills, 200 villages.",Tamil Nadu,11.4543,76.6243,5,5* (Developing),,,"Dravidian, Southern, Tamil-Kannada, Kannada",,,,,Many also use English [eng].,"Used as L2 by Irula [iru], Kota [kfe].",,,Radio. Dictionary. Grammar. Texts. NT: 1999.,,,"Badaga script [Qabq], in development. Kannada script [Knda], no longer in use. Latin script [Latn]. Tamil script [Taml], used since 2009.",,"Hindu, Christian, traditional religion."
32,bfy,Bagheli,Bagheli,बघेली‎ (Bagheli),"Bagelkhandi, Bhugelkhud, Gangai, Godwani Kawathi, Kenat, Kevat Boli, Kevati, Kewani, Kewat, Kewati, Kewot, Kumhari, Mandal, Mannadi, Riwai",IN,India,T,T,T,2680000,2680000,,,"2,680,000 (2011 census).",,,,2011,,"Chhattisgarh state: Bilaspur and Koriya districts; Madhya Pradesh state: Anuppur, Chhindwara, Dindori, Jabalpur, Mandla, Panna, Rewa, Satna, Shahdol, Sidhi, and Umaria districts; Uttar Pradesh state: Allahabad, Banda, Mirzapur, and Hamirpur districts.",Madhya Pradesh,24.2388,80.8812,6a,6a (Vigorous),,,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Eastern, East Central","Godwani, Kumhari, Rewa","Godwani (refers to Bagheli-speaking Gonds), Kumhari (refers to Bagheli-speaking Kumhar). Though geographic and caste variation is found in Bagheli, no dialect is prevalent. Rewa area variety is considered standard. Lexical similarity: 79%–99% between all Bagheli varieties; 72%–91% with Hindi [hin].",,Vigorous. All domains. Used by all. Positive attitudes.,"Many also use English [eng]. Also use Hindi [hin], using it widely but not displacing Bagheli in any domain. 35% of Bagheli speakers have at least good general proficiency.",,Literacy rate in L2: 49% in Hindi [hin]. Had literature since 16th century.,,Radio. NT: 1821.,,,Devanagari script [Deva].,,Hindu.
33,bgq,Bagri,Bagri,बागड़ी‎ (Bagri),"Bagari, Bagria, Bagris, Bahgri, Baorias",IN,India,T,T,T,1890000,1890000,,,"1,890,000 in India (2011 census).",,"162,000 monolinguals.",,2011,"22,09,000","Punjab state: Fatehabad, Firozepur, Hanumangarh, Haryana, Rajasthan, Sriganganagar, and Sirsa districts.",Rajasthan,29.7919,74.2273,6a,6a* (Vigorous),,,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Rajasthani, Unclassified",,"Lexical similarity: 81%–95% between all varietes of Bagri, 58%–63% with Eastern Punjabi [pan], 56%–69% with Hindi [hin], 56%–70% with Haryanvi [bgc], 51%–66% with Marwari [rwr], 58%–69% with Merwari [wry], 69%–76% with Shekhawati [swv], 47%–63% with Godwari [gdx], 63%–65% with Dhundari [dhd], 60%–66% with Mewati [wtm], 74% with Jandavra [jnd].","SOV; tonal, 3 tones.","Vigorous. Home, village, school, market, religion. Positive attitudes.",Most also use Hindi [hin]. Educated people and men have greater proficiency. Many also use English [eng].,,Most Bagri live in rural areas and are illiterate.,,Grammar. NT: 2014.,,,Devanagari script [Deva].,A Scheduled Caste.,Traditional religion.
34,vjk,Bajjika,Bajjika,बज्जिका‎ (Bajjika),"Brajjika, Brijjika, Vaishali ki boli, Vajjika, Vrijjika, Western Maithili",IN,India,T,T,T,11500000,11500000,,,"11,500,000 in India (Kashyap 2014).",,,,2014,"12,716,100 (as L1: 12,630,000; as L2: 86,100)","Bihar state: Muzaffarpur, Samastipur, Shivahar, Sitamarhi, and Vaishali districts; Dharbhanga district, Singhwara block; Purba Champaran district, Dhaka block.",Bihar,26.3009,85.2302,5,5 (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Eastern, Bihari",,Lexical similarity: 51%–65% with Maithili [mai].,,All domains. Used by all.,Many also use Hindi [hin] (Kashyap 2014). Also use Bhojpuri [bho]. Also use Maithili [mai].,,,,Literature. Newspapers. Periodicals. Radio. TV.,,,"Devanagari script [Deva]. Kaithi script [Kthi], used until the turn of the 20th century.",,Hindu.
35,bgp,"Balochi, Eastern",Eastern Balochi,بلوچی‎ (Balochi),"Balochi, Baloci, Baluci",IN,India,F,F,T,800,800,,,800 in India (2007). Possibly L2 speakers only.,,,########,2007,"37,00,800",Punjab state: Firozpur district.,Punjab,,,7,7 (Shifting),,,"Indo-European, Indo-Iranian, Iranian, Western, Northwestern, Balochi",,,SOV; both prepositions and postpositions; gender (masculine/feminine); no articles; case-marking (5 cases); ergativity; passives; tense and aspect; 23 consonant and 8 vowel phonemes; non-tonal.,,Shifting to Urdu [urd].,,,,Radio. Grammar. NT: 1906.,,,"Arabic script, Naskh variant [Arab]. Arabic script, Nastaliq variant [Aran], primary usage. Latin script [Latn], limited usage in the early 1900s.","Distinct from Western Balochi [bgn] of Pakistan, Afghanistan, Iran, and Turkmenistan; and Southern Balochi [bcc] of Pakistan, Iran, Oman, and United Arab Emirates.",Muslim.
